Quận,Loại hình nhà ở,Giấy tờ pháp lý,ViTriXa_km,TuoiNha,Số tầng,Số phòng ngủ,Diện tích_m2,Giá_m2
Quận Long Biên,Chung cư,Đã có sổ,7,21,39,3,138,135.8
Quận Đống Đa,Penthouse,Sổ hồng,2.8,12,14,3,79,160.5
Quận Đống Đa,Chung cư,Sổ hồng,2.5,13,22,2,122,154.8
Quận Đống Đa,Chung cư,Sổ hồng,6,10,11,5,76,146.4
Quận Hà Đông,Chung cư,Đã có sổ,7.7,14,20,4,49,121.2
Quận Hai Bà Trưng,Duplex,Sổ hồng,19.4,25,30,5,64,99.8
Quận Cầu Giấy,Duplex,Đã có sổ,11,25,34,4,55,128.4
Quận Tây Hồ,Chung cư,Sổ hồng,18.2,4,4,4,46,115.4
Quận Hai Bà Trưng,Chung cư,Đã có sổ,3,17,33,3,106,155.5
Quận Đống Đa,Chung cư,Sổ hồng,5.2,0,31,2,146,157
Quận Thanh Xuân,Chung cư,Sổ hồng,3.7,1,14,3,112,153.6
Quận Cầu Giấy,Chung cư,Sổ hồng,7.8,2,23,5,76,140.5
Quận Hà Đông,Chung cư,Sổ hồng,18.4,36,17,4,35,89.7
Quận Hai Bà Trưng,Penthouse,Sổ hồng,6.2,38,17,4,139,140.6
Quận Đống Đa,Duplex,Đã có sổ,12.1,15,12,4,139,140.9
Quận Hà Đông,Chung cư,Đã có sổ,18.4,33,39,2,76,90.7
Quận Đống Đa,Chung cư,Đã có sổ,10.3,16,28,5,121,134.2
Quận Long Biên,Chung cư,Sổ hồng,10.8,20,14,2,107,120.3
Quận Cầu Giấy,Chung cư,Sổ hồng,11.3,28,37,2,129,128.7
Quận Hà Đông,Chung cư,Sổ hồng,6,19,21,2,139,136.7
Quận Hai Bà Trưng,Chung cư,Đã có sổ,8.7,30,11,2,39,126.6
Quận Đống Đa,Penthouse,Đã có sổ,17,6,26,2,118,136.3
Quận Đống Đa,Penthouse,Đã có sổ,8.3,16,28,4,143,155.8
Quận Hà Đông,Duplex,Sổ hồng,8.7,15,34,2,100,142.7
Quận Tây Hồ,Chung cư,Sổ hồng,2.8,24,21,2,41,146.8
Quận Cầu Giấy,Duplex,Đã có sổ,9.5,33,23,5,130,142.9
Quận Hà Đông,Chung cư,Đã có sổ,2.1,22,6,1,100,147.3
Quận Cầu Giấy,Chung cư,Sổ hồng,5.7,39,16,3,77,136.8
Quận Cầu Giấy,Chung cư,Sổ hồng,19.6,35,16,2,95,106.1
Quận Hà Đông,Penthouse,Sổ hồng,18.1,23,3,4,45,103.5
Quận Cầu Giấy,Chung cư,Sổ hồng,12.6,10,16,1,73,124.6
Quận Tây Hồ,Chung cư,Sổ hồng,14.4,1,39,4,96,129.3
Quận Tây Hồ,Chung cư,Đã có sổ,5.1,27,3,5,47,145.9
Quận Thanh Xuân,Chung cư,Sổ hồng,3.3,35,37,3,80,134.6
Quận Đống Đa,Chung cư,Đã có sổ,11.2,31,24,1,83,130.3
Quận Đống Đa,Chung cư,Sổ hồng,18,5,19,3,68,107.7
Quận Long Biên,Penthouse,Đã có sổ,16.7,21,34,3,66,114.2
Quận Đống Đa,Duplex,Sổ hồng,12,15,36,1,137,140.4
Quận Cầu Giấy,Penthouse,Đã có sổ,19.7,11,39,5,54,113.3
Quận Hai Bà Trưng,Chung cư,Sổ hồng,5.3,12,13,4,64,144.3
Quận Hai Bà Trưng,Chung cư,Sổ hồng,15.5,1,33,4,38,116.6
Quận Hà Đông,Chung cư,Đã có sổ,6,14,28,3,73,138.2
Quận Tây Hồ,Penthouse,Đã có sổ,19.5,1,3,5,107,125.8
Quận Tây Hồ,Chung cư,Sổ hồng,5.7,21,35,4,52,140.2
Quận Đống Đa,Chung cư,Sổ hồng,7.6,13,39,5,148,144.4
Quận Đống Đa,Chung cư,Sổ hồng,9.8,29,36,3,65,123.6
Quận Tây Hồ,Chung cư,Đã có sổ,6.8,21,8,3,97,154.5
Quận Thanh Xuân,Chung cư,Sổ hồng,5.9,12,39,1,90,139.5
Quận Thanh Xuân,Chung cư,Sổ hồng,9.7,8,9,2,69,126.8
Quận Thanh Xuân,Chung cư,Sổ hồng,16.4,36,3,3,38,100.7
Quận Long Biên,Chung cư,Đã có sổ,15.6,24,22,4,45,100.9
Quận Hai Bà Trưng,Chung cư,Đã có sổ,9.2,19,39,2,105,137.8
Quận Cầu Giấy,Chung cư,Sổ hồng,6.6,14,13,4,62,148.1
Quận Tây Hồ,Chung cư,Sổ hồng,3.1,23,7,4,140,161.8
Quận Hai Bà Trưng,Penthouse,Sổ hồng,17.5,24,25,4,125,126.2
Quận Long Biên,Chung cư,Sổ hồng,17.8,0,31,4,102,108.7
Quận Cầu Giấy,Chung cư,Sổ hồng,1.8,37,30,3,91,154.5
Quận Hà Đông,Chung cư,Sổ hồng,15.1,5,8,3,63,107.3
Quận Hai Bà Trưng,Chung cư,Sổ hồng,17.7,9,37,2,65,111.4
Quận Đống Đa,Duplex,Đã có sổ,14.9,35,20,4,122,120.2
Quận Hai Bà Trưng,Penthouse,Sổ hồng,7.1,8,4,2,111,156
Quận Long Biên,Duplex,Sổ hồng,8.9,30,19,2,63,127.5
Quận Hà Đông,Chung cư,Sổ hồng,6.4,34,31,2,89,129.7
Quận Long Biên,Chung cư,Đã có sổ,11.1,1,4,1,39,116
Quận Cầu Giấy,Penthouse,Sổ hồng,17.9,25,34,3,86,119.2
Quận Thanh Xuân,Chung cư,Sổ hồng,13.6,38,35,4,58,106.6
Quận Cầu Giấy,Duplex,Sổ hồng,9.4,19,19,5,101,146.1
Quận Hà Đông,Penthouse,Sổ hồng,17.3,1,7,4,56,113.2
Quận Hà Đông,Chung cư,Sổ hồng,0.5,25,33,5,146,157.1
Quận Long Biên,Chung cư,Đã có sổ,5.9,18,12,3,96,146.4
Quận Đống Đa,Chung cư,Đã có sổ,9,5,15,2,148,155.2
Quận Hà Đông,Chung cư,Đã có sổ,12.1,28,6,3,86,112.3
Quận Đống Đa,Chung cư,Đã có sổ,19.9,21,28,2,57,100.1
Quận Cầu Giấy,Chung cư,Sổ hồng,13,13,6,3,125,136.4
Quận Thanh Xuân,Chung cư,Sổ hồng,7.9,13,23,4,49,130.2
Quận Đống Đa,Chung cư,Sổ hồng,14.6,38,27,2,140,106.6
Quận Đống Đa,Chung cư,Đã có sổ,19.7,35,19,5,111,97.6
Quận Hai Bà Trưng,Duplex,Sổ hồng,12.4,35,39,4,42,112.2
Quận Hà Đông,Duplex,Sổ hồng,7.4,13,34,4,100,135.6
Quận Hai Bà Trưng,Chung cư,Sổ hồng,13.8,35,17,5,149,121.1
Quận Hai Bà Trưng,Duplex,Đã có sổ,9.6,4,35,5,70,139.4
Quận Tây Hồ,Chung cư,Sổ hồng,10.9,24,4,1,131,143
Quận Thanh Xuân,Chung cư,Sổ hồng,19.1,8,32,2,64,102.8
Quận Đống Đa,Duplex,Đã có sổ,9,5,8,2,86,144.9
Quận Đống Đa,Chung cư,Sổ hồng,6.6,22,36,1,97,140.1
Quận Tây Hồ,Chung cư,Sổ hồng,12.9,31,18,5,99,127.9
Quận Thanh Xuân,Chung cư,Sổ hồng,11.6,14,23,5,53,118
Quận Đống Đa,Duplex,Đã có sổ,8.2,9,5,1,95,152.6
Quận Hà Đông,Chung cư,Sổ hồng,6.4,7,7,5,145,140.9
Quận Đống Đa,Duplex,Đã có sổ,10.7,36,12,1,77,135.6
Quận Thanh Xuân,Chung cư,Sổ hồng,3.7,39,30,1,93,141.6
Quận Cầu Giấy,Chung cư,Đã có sổ,5.7,35,15,5,107,143.8
Quận Đống Đa,Chung cư,Đã có sổ,17.1,27,25,4,135,118.1
Quận Thanh Xuân,Chung cư,Đã có sổ,18.2,30,4,3,64,98.5
Quận Thanh Xuân,Chung cư,Sổ hồng,8.2,26,33,1,137,136.6
Quận Thanh Xuân,Chung cư,Sổ hồng,16.8,11,18,2,115,106.8
Quận Cầu Giấy,Chung cư,Sổ hồng,2.5,20,3,3,57,147.1
Quận Tây Hồ,Chung cư,Sổ hồng,4.7,26,21,4,148,153.6
Quận Đống Đa,Chung cư,Đã có sổ,12.1,27,23,5,86,121
Quận Long Biên,Duplex,Sổ hồng,13.7,31,11,3,145,119.2
Quận Hà Đông,Duplex,Đã có sổ,5.4,7,29,1,133,152.2
Quận Tây Hồ,Duplex,Đã có sổ,18.8,37,29,1,123,115.6
Quận Hà Đông,Duplex,Đã có sổ,12.7,18,12,2,41,118.8
Quận Đống Đa,Chung cư,Đã có sổ,18.5,19,12,5,72,103
Quận Hà Đông,Chung cư,Sổ hồng,2.6,34,36,3,52,130.6
Quận Hai Bà Trưng,Penthouse,Sổ hồng,11.9,11,5,5,141,149.6
Quận Đống Đa,Duplex,Sổ hồng,7.2,31,28,2,131,141.9
Quận Thanh Xuân,Chung cư,Sổ hồng,17.4,7,19,2,71,105.9
Quận Cầu Giấy,Chung cư,Sổ hồng,0.8,3,18,2,146,170.4
Quận Đống Đa,Chung cư,Sổ hồng,15.5,0,6,1,108,120.1
Quận Hà Đông,Chung cư,Sổ hồng,3.7,38,39,3,89,135.4
Quận Cầu Giấy,Chung cư,Sổ hồng,17.9,27,34,1,126,114.2
Quận Hà Đông,Duplex,Đã có sổ,9.5,14,34,5,134,140.2
Quận Hà Đông,Chung cư,Sổ hồng,3.9,10,20,3,123,148.5
Quận Long Biên,Chung cư,Đã có sổ,16.4,35,3,3,139,110.1
Quận Cầu Giấy,Chung cư,Sổ hồng,10.3,18,30,5,39,128.4
Quận Hà Đông,Duplex,Sổ hồng,1.7,26,35,1,106,141.5
Quận Long Biên,Chung cư,Sổ hồng,1.1,11,24,3,145,156
Quận Đống Đa,Chung cư,Đã có sổ,5.4,10,17,5,134,159.3
Quận Thanh Xuân,Chung cư,Sổ hồng,14.4,18,32,1,89,112.3
Quận Long Biên,Chung cư,Đã có sổ,9,38,10,3,80,120.6
Quận Hà Đông,Chung cư,Đã có sổ,10.8,0,12,5,124,128.2
Quận Hà Đông,Duplex,Sổ hồng,3.2,9,32,4,144,155
Quận Tây Hồ,Chung cư,Sổ hồng,14.5,25,7,1,134,125.5
Quận Tây Hồ,Chung cư,Sổ hồng,7.5,30,20,2,100,157.3
Quận Hà Đông,Chung cư,Sổ hồng,7,13,14,5,67,136.4
Quận Cầu Giấy,Chung cư,Sổ hồng,11.8,35,4,5,74,118
Quận Thanh Xuân,Duplex,Sổ hồng,15.4,3,8,3,117,127.5
Quận Cầu Giấy,Chung cư,Sổ hồng,1,18,15,1,65,149.1
Quận Cầu Giấy,Chung cư,Đã có sổ,1.5,35,11,1,89,157.5
Quận Hà Đông,Duplex,Sổ hồng,2.4,29,24,2,51,131.4
Quận Tây Hồ,Chung cư,Đã có sổ,17,33,11,3,39,113
Quận Long Biên,Duplex,Đã có sổ,17.2,37,14,2,117,107.4
Quận Hà Đông,Chung cư,Sổ hồng,12.9,25,10,4,149,118.5
Quận Đống Đa,Duplex,Sổ hồng,1.4,20,10,4,103,163.8
Quận Cầu Giấy,Chung cư,Đã có sổ,15.1,18,26,5,58,120.7
Quận Thanh Xuân,Chung cư,Sổ hồng,17.4,11,6,4,124,113.9
Quận Cầu Giấy,Duplex,Sổ hồng,18.3,26,17,1,60,109.2
Quận Hai Bà Trưng,Chung cư,Đã có sổ,16.1,34,9,5,71,108.6
Quận Cầu Giấy,Chung cư,Sổ hồng,9.2,11,33,3,138,137.3
Quận Long Biên,Duplex,Đã có sổ,9.4,6,21,4,114,137.9
Quận Đống Đa,Chung cư,Sổ hồng,10.2,16,35,5,120,134
Quận Thanh Xuân,Chung cư,Sổ hồng,9.7,8,26,3,132,139.8
Quận Cầu Giấy,Chung cư,Sổ hồng,10.5,16,39,2,120,139.6
Quận Đống Đa,Chung cư,Đã có sổ,2.1,13,23,3,74,157.9
Quận Tây Hồ,Chung cư,Sổ hồng,16.4,32,17,4,62,107
Quận Hai Bà Trưng,Penthouse,Đã có sổ,0.6,10,5,2,52,169.8
Quận Hà Đông,Penthouse,Sổ hồng,1.1,21,30,1,68,153.7
Quận Đống Đa,Chung cư,Đã có sổ,1,22,39,1,103,158.9
Quận Thanh Xuân,Chung cư,Sổ hồng,18.1,24,22,3,63,88.6
Quận Tây Hồ,Chung cư,Sổ hồng,19.9,21,14,1,148,111.3
Quận Hai Bà Trưng,Chung cư,Sổ hồng,6.3,36,34,1,53,124.9
Quận Đống Đa,Chung cư,Đã có sổ,2.9,12,28,1,136,156.7
Quận Hà Đông,Chung cư,Đã có sổ,0.9,22,6,5,88,146.1
Quận Đống Đa,Duplex,Đã có sổ,18.1,16,13,1,75,118.1
Quận Hà Đông,Duplex,Sổ hồng,7.5,37,37,1,36,126.7
Quận Cầu Giấy,Chung cư,Đã có sổ,10.1,0,35,5,126,151.1
Quận Hà Đông,Chung cư,Sổ hồng,7.8,13,39,5,69,124.8
Quận Tây Hồ,Chung cư,Sổ hồng,18.2,8,5,3,80,110
Quận Đống Đa,Chung cư,Sổ hồng,16.7,29,12,5,52,104.1
Quận Cầu Giấy,Duplex,Đã có sổ,18,24,11,2,142,134.1
Quận Long Biên,Chung cư,Đã có sổ,8.9,31,19,4,107,126.9
Quận Thanh Xuân,Chung cư,Sổ hồng,4.7,23,11,5,108,146.8
Quận Thanh Xuân,Chung cư,Đã có sổ,12.2,31,14,1,58,113.5
Quận Thanh Xuân,Penthouse,Đã có sổ,4.6,13,30,2,144,162.8
Quận Đống Đa,Chung cư,Đã có sổ,6.8,6,38,3,117,143.4
Quận Đống Đa,Chung cư,Đã có sổ,18.9,28,22,5,59,93.9
Quận Hà Đông,Duplex,Sổ hồng,17.5,9,4,5,89,105.5
Quận Hai Bà Trưng,Chung cư,Sổ hồng,9,18,33,2,98,134.6
Quận Thanh Xuân,Penthouse,Đã có sổ,6.8,13,33,4,119,160.1
Quận Long Biên,Chung cư,Sổ hồng,11.8,17,21,5,59,115.5
Quận Cầu Giấy,Chung cư,Sổ hồng,15.4,10,16,2,111,119.7
Quận Long Biên,Duplex,Sổ hồng,4.3,38,4,3,132,149.5
Quận Hai Bà Trưng,Chung cư,Sổ hồng,18.2,25,17,5,141,111.9
Quận Hai Bà Trưng,Duplex,Đã có sổ,4.2,38,35,1,70,150.4
Quận Hà Đông,Duplex,Đã có sổ,12.4,13,6,2,36,114.6
Quận Hai Bà Trưng,Chung cư,Đã có sổ,11.2,23,20,5,45,118.9
Quận Cầu Giấy,Chung cư,Đã có sổ,6.9,8,4,3,121,149.9
Quận Long Biên,Chung cư,Đã có sổ,11.4,38,5,4,93,115.5
Quận Cầu Giấy,Chung cư,Đã có sổ,17.7,25,15,1,92,115.8
Quận Cầu Giấy,Chung cư,Sổ hồng,6.9,12,15,5,42,133.6
Quận Đống Đa,Chung cư,Sổ hồng,17.8,7,8,1,68,107.1
Quận Hai Bà Trưng,Chung cư,Sổ hồng,1.7,14,3,5,140,164.9
Quận Cầu Giấy,Duplex,Sổ hồng,10.9,38,32,2,48,123.6
Quận Tây Hồ,Duplex,Đã có sổ,6.2,26,14,4,107,155.1
Quận Tây Hồ,Chung cư,Đã có sổ,18.6,2,4,4,65,117
Quận Đống Đa,Chung cư,Đã có sổ,1.4,25,37,5,121,161.4
Quận Hà Đông,Chung cư,Sổ hồng,0.9,24,30,4,119,153.5
Quận Hai Bà Trưng,Duplex,Sổ hồng,16.3,29,6,3,104,114.2
Quận Thanh Xuân,Chung cư,Sổ hồng,14.9,29,39,2,119,113
Quận Hà Đông,Penthouse,Sổ hồng,3.5,25,6,2,141,147.2
Quận Tây Hồ,Duplex,Đã có sổ,18.9,18,31,4,73,110.8
Quận Tây Hồ,Duplex,Sổ hồng,17.5,26,6,3,49,127
Quận Tây Hồ,Chung cư,Sổ hồng,5.2,4,36,4,74,155.8
Quận Thanh Xuân,Chung cư,Sổ hồng,13.8,38,18,3,49,111
Quận Thanh Xuân,Penthouse,Sổ hồng,8.9,32,7,4,78,135.3
Quận Thanh Xuân,Chung cư,Sổ hồng,11.4,15,25,1,60,126.7
Quận Hà Đông,Chung cư,Sổ hồng,15.9,24,34,3,132,111.8
Quận Thanh Xuân,Chung cư,Sổ hồng,12.8,37,26,5,84,111.9
Quận Hà Đông,Chung cư,Đã có sổ,2.3,2,27,5,79,145.6
Quận Đống Đa,Duplex,Đã có sổ,12.3,22,22,1,88,122.9
Quận Hai Bà Trưng,Chung cư,Sổ hồng,4.1,12,19,5,90,147.9
Quận Hai Bà Trưng,Duplex,Sổ hồng,9.2,21,9,4,106,138.7
Quận Long Biên,Chung cư,Sổ hồng,8.2,1,21,4,39,127.3
Quận Cầu Giấy,Chung cư,Sổ hồng,2.1,37,22,4,141,149.8
Quận Cầu Giấy,Duplex,Sổ hồng,2.4,15,34,2,126,173.9
Quận Long Biên,Penthouse,Sổ hồng,15.9,32,28,2,85,114.8
Quận Đống Đa,Penthouse,Sổ hồng,11.7,0,14,2,141,146.1
Quận Đống Đa,Duplex,Sổ hồng,19.5,7,32,5,36,107.3
Quận Cầu Giấy,Chung cư,Sổ hồng,19.1,18,11,5,63,100.4
Quận Thanh Xuân,Chung cư,Sổ hồng,4.2,12,16,4,124,153.5
Quận Đống Đa,Chung cư,Sổ hồng,17.2,27,39,1,66,98.8
Quận Long Biên,Chung cư,Đã có sổ,6.9,7,13,3,122,140.9
Quận Tây Hồ,Chung cư,Sổ hồng,3.9,21,14,1,119,159.7
Quận Hà Đông,Chung cư,Sổ hồng,9.3,22,20,2,112,127.4
Quận Đống Đa,Chung cư,Sổ hồng,6.1,10,37,3,94,139.1
Quận Long Biên,Chung cư,Sổ hồng,10.4,10,35,2,90,120.4
Quận Đống Đa,Chung cư,Đã có sổ,13.1,39,35,4,45,113.3
Quận Hà Đông,Chung cư,Đã có sổ,6.4,20,35,5,39,131.7
Quận Tây Hồ,Duplex,Sổ hồng,11.1,32,7,2,149,144.5
Quận Long Biên,Chung cư,Sổ hồng,12.7,15,27,3,115,117.2
Quận Tây Hồ,Chung cư,Đã có sổ,12.5,39,8,3,131,133
Quận Thanh Xuân,Duplex,Sổ hồng,18.5,4,30,3,108,116.2
Quận Đống Đa,Chung cư,Sổ hồng,13.1,30,37,2,39,107.9
Quận Long Biên,Penthouse,Sổ hồng,7,13,13,2,98,144.8
Quận Cầu Giấy,Chung cư,Sổ hồng,2.3,5,17,4,39,152
Quận Long Biên,Chung cư,Sổ hồng,10,27,16,3,42,115.9
Quận Thanh Xuân,Chung cư,Sổ hồng,11.7,17,35,2,60,116.5
Quận Long Biên,Duplex,Đã có sổ,11.3,21,32,1,145,137.4
Quận Đống Đa,Chung cư,Đã có sổ,11.2,5,20,3,72,133.2
Quận Thanh Xuân,Chung cư,Đã có sổ,7.8,11,34,5,126,147.8
Quận Hà Đông,Penthouse,Sổ hồng,19.2,38,8,4,85,100.2
Quận Hai Bà Trưng,Duplex,Đã có sổ,12.5,3,8,1,36,131.4
Quận Đống Đa,Duplex,Sổ hồng,4.8,14,10,5,149,161.7
Quận Hà Đông,Duplex,Sổ hồng,0.6,23,9,5,136,160.9
Quận Long Biên,Duplex,Sổ hồng,11.6,15,19,5,143,134.4
Quận Hà Đông,Chung cư,Sổ hồng,15.1,2,24,2,36,106.3
Quận Hà Đông,Chung cư,Đã có sổ,2.6,23,35,1,149,155
Quận Cầu Giấy,Duplex,Sổ hồng,9.6,15,10,2,53,134.6
Quận Tây Hồ,Chung cư,Đã có sổ,19.5,17,8,1,103,118.2
Quận Cầu Giấy,Chung cư,Đã có sổ,10.1,29,5,4,81,133.7
Quận Đống Đa,Chung cư,Sổ hồng,17.1,0,25,2,100,117.4
Quận Long Biên,Chung cư,Sổ hồng,3.2,11,39,4,130,149
Quận Thanh Xuân,Chung cư,Sổ hồng,9.3,2,3,5,75,131
Quận Đống Đa,Duplex,Đã có sổ,7.4,39,31,1,120,147.4
Quận Thanh Xuân,Duplex,Sổ hồng,1.1,5,17,3,130,164
Quận Hai Bà Trưng,Chung cư,Sổ hồng,10.7,28,30,5,90,114.1
Quận Đống Đa,Chung cư,Sổ hồng,8.3,35,39,5,63,132.4
Quận Long Biên,Chung cư,Sổ hồng,12.4,2,9,2,109,123.4
Quận Long Biên,Chung cư,Đã có sổ,11.2,28,13,4,74,115.5
Quận Đống Đa,Chung cư,Sổ hồng,9.3,0,12,5,87,135.4
Quận Hai Bà Trưng,Chung cư,Đã có sổ,2.5,10,7,4,138,161.3
Quận Đống Đa,Duplex,Sổ hồng,9.1,38,11,1,87,128.7
Quận Hà Đông,Chung cư,Sổ hồng,19.4,12,32,4,55,98.3
Quận Đống Đa,Chung cư,Sổ hồng,5.8,34,37,4,103,146.3
Quận Tây Hồ,Chung cư,Sổ hồng,8,20,16,5,104,141.2
Quận Hà Đông,Penthouse,Sổ hồng,16.9,29,23,4,56,104.9
Quận Thanh Xuân,Duplex,Đã có sổ,10.6,20,27,3,43,125
Quận Hà Đông,Chung cư,Sổ hồng,0.5,10,23,5,51,147.1
Quận Hà Đông,Penthouse,Sổ hồng,11,0,30,5,77,131.8
Quận Cầu Giấy,Chung cư,Sổ hồng,17.5,9,31,3,144,116.9
Quận Hà Đông,Chung cư,Sổ hồng,14,1,15,1,138,123.4
Quận Hà Đông,Chung cư,Đã có sổ,15.3,31,22,3,80,105.6
Quận Đống Đa,Chung cư,Sổ hồng,1.2,17,20,4,136,161.1
Quận Hà Đông,Duplex,Đã có sổ,4,16,23,5,62,148
Quận Đống Đa,Duplex,Sổ hồng,11.9,39,24,1,67,113.3
Quận Long Biên,Chung cư,Đã có sổ,3.5,34,8,5,109,147.5
Quận Tây Hồ,Chung cư,Sổ hồng,15.2,31,13,3,142,124.2
Quận Đống Đa,Chung cư,Sổ hồng,4.9,6,23,1,77,138.2
Quận Cầu Giấy,Duplex,Sổ hồng,6.7,35,6,5,108,140.9
Quận Tây Hồ,Chung cư,Sổ hồng,1.3,35,39,1,83,145.7
Quận Hai Bà Trưng,Chung cư,Đã có sổ,8.8,37,22,1,110,129.3
Quận Thanh Xuân,Duplex,Sổ hồng,5.5,6,23,5,137,152.1
Quận Cầu Giấy,Chung cư,Đã có sổ,1.1,37,17,5,114,157.1
Quận Cầu Giấy,Duplex,Sổ hồng,3.1,31,11,4,59,151.5
Quận Cầu Giấy,Chung cư,Đã có sổ,8.2,4,36,3,124,143.7
Quận Cầu Giấy,Chung cư,Sổ hồng,7.2,19,7,3,56,132.3
Quận Tây Hồ,Duplex,Sổ hồng,17.3,18,24,2,37,116.4
Quận Đống Đa,Chung cư,Sổ hồng,6.4,25,20,2,143,148.4
Quận Hai Bà Trưng,Chung cư,Sổ hồng,8.6,28,25,2,59,120.2
Quận Long Biên,Penthouse,Sổ hồng,8.5,23,36,3,89,136.8
Quận Long Biên,Chung cư,Sổ hồng,12.2,5,29,2,56,113.9
Quận Long Biên,Chung cư,Sổ hồng,18.1,29,3,4,76,98.3
Quận Tây Hồ,Chung cư,Sổ hồng,13.7,27,13,3,35,117.7
Quận Hà Đông,Chung cư,Đã có sổ,16.8,10,27,1,85,111.2
Quận Tây Hồ,Chung cư,Đã có sổ,4.1,18,15,4,137,162.3
Quận Hai Bà Trưng,Chung cư,Sổ hồng,16.9,6,15,5,71,113.1
Quận Cầu Giấy,Chung cư,Sổ hồng,14.2,16,39,2,107,121.3
Quận Hai Bà Trưng,Chung cư,Đã có sổ,6.3,11,23,5,106,153.3
Quận Hai Bà Trưng,Chung cư,Sổ hồng,18,19,15,5,72,101.6
Quận Tây Hồ,Chung cư,Đã có sổ,13.5,6,21,2,57,131.5
Quận Hà Đông,Chung cư,Sổ hồng,9.6,35,31,5,119,115
Quận Đống Đa,Chung cư,Đã có sổ,14.2,6,19,3,47,118.5
Quận Cầu Giấy,Chung cư,Sổ hồng,0.6,19,31,1,108,160.3
Quận Thanh Xuân,Chung cư,Sổ hồng,6.8,27,17,1,127,142.7
Quận Cầu Giấy,Chung cư,Sổ hồng,15.6,3,39,2,65,126
Quận Đống Đa,Chung cư,Sổ hồng,17.3,37,26,4,145,108.6
Quận Long Biên,Chung cư,Đã có sổ,16.1,33,30,5,116,110.4
Quận Thanh Xuân,Penthouse,Sổ hồng,14.8,8,26,4,149,138.5
Quận Đống Đa,Chung cư,Sổ hồng,10.2,35,15,3,36,118.5
Quận Thanh Xuân,Duplex,Đã có sổ,4.2,31,8,5,54,145.6
Quận Cầu Giấy,Chung cư,Sổ hồng,2.7,32,12,1,109,144.8
Quận Hà Đông,Duplex,Sổ hồng,18.5,35,18,4,45,99.5
Quận Cầu Giấy,Chung cư,Sổ hồng,4.6,27,32,5,52,150.2
Quận Đống Đa,Chung cư,Sổ hồng,5.3,16,39,1,121,145.4
Quận Cầu Giấy,Duplex,Sổ hồng,14.6,15,17,2,96,123.9
Quận Cầu Giấy,Chung cư,Sổ hồng,15.2,39,12,3,51,105.9
Quận Đống Đa,Chung cư,Đã có sổ,8.5,30,13,2,89,132.9
Quận Đống Đa,Chung cư,Đã có sổ,2,5,39,3,70,152.1
Quận Cầu Giấy,Duplex,Sổ hồng,9.9,9,12,5,51,135.4
Quận Đống Đa,Duplex,Sổ hồng,16.3,18,25,1,45,116.6
Quận Long Biên,Chung cư,Sổ hồng,17.7,39,16,3,104,94.7
Quận Hai Bà Trưng,Chung cư,Sổ hồng,13.2,24,12,3,141,125.4
Quận Cầu Giấy,Chung cư,Sổ hồng,13.8,1,38,5,117,135.9
Quận Đống Đa,Chung cư,Đã có sổ,1,21,10,3,82,164.2
Quận Hai Bà Trưng,Chung cư,Đã có sổ,4.7,20,28,4,116,155.1
Quận Cầu Giấy,Chung cư,Sổ hồng,15.1,30,4,4,135,121.1
Quận Long Biên,Chung cư,Sổ hồng,10.8,13,34,1,39,112.5
Quận Tây Hồ,Chung cư,Sổ hồng,11.9,14,25,5,95,141.6
Quận Long Biên,Chung cư,Sổ hồng,16.3,30,33,2,143,108.4
Quận Long Biên,Chung cư,Sổ hồng,13.6,13,30,5,67,104.3
Quận Hai Bà Trưng,Penthouse,Sổ hồng,8.7,19,26,2,122,150.6
Quận Đống Đa,Chung cư,Sổ hồng,19.5,21,37,2,81,92.9
Quận Hai Bà Trưng,Chung cư,Sổ hồng,5.2,0,5,5,74,143.4
Quận Long Biên,Chung cư,Sổ hồng,7.1,31,28,3,89,125.6
Quận Hai Bà Trưng,Penthouse,Đã có sổ,13.5,12,16,5,136,143.9
Quận Thanh Xuân,Chung cư,Sổ hồng,5,21,6,4,72,141.4
Quận Hà Đông,Chung cư,Đã có sổ,7.9,1,21,2,110,144.1
Quận Long Biên,Duplex,Đã có sổ,14,28,19,3,82,118.8
Quận Cầu Giấy,Chung cư,Đã có sổ,7.1,26,11,4,69,137.5
Quận Hai Bà Trưng,Chung cư,Đã có sổ,1.6,8,39,4,84,160.9
Quận Tây Hồ,Chung cư,Đã có sổ,11.4,21,7,2,84,139.5
Quận Hai Bà Trưng,Chung cư,Sổ hồng,15.5,17,32,4,102,118.3
Quận Tây Hồ,Chung cư,Sổ hồng,15,39,30,1,61,107.1
Quận Hai Bà Trưng,Chung cư,Sổ hồng,12.6,16,35,4,61,123.9
Quận Cầu Giấy,Chung cư,Sổ hồng,15.4,23,28,1,107,112.6
Quận Long Biên,Duplex,Sổ hồng,4.4,19,4,3,71,149.3
Quận Thanh Xuân,Penthouse,Đã có sổ,14.8,39,22,5,119,124.2
Quận Hà Đông,Chung cư,Sổ hồng,1.5,4,18,1,38,141
Quận Thanh Xuân,Chung cư,Đã có sổ,14.9,1,38,5,56,111.5
Quận Thanh Xuân,Penthouse,Đã có sổ,1.5,13,20,1,121,172
Quận Hà Đông,Chung cư,Sổ hồng,15.5,10,5,5,73,102.6
Quận Hà Đông,Duplex,Sổ hồng,17.8,13,11,5,63,112.5
Quận Đống Đa,Chung cư,Đã có sổ,16.7,1,19,4,71,120.6
